id,f1,f2
0,163.3382414,300
0.1,65.53637929,202.1981379
0.2,60.53637929,295
0.3,45.63791157,285.1015323
0.4,89.65821708,344.0203055
0.5,132.6015275,342.9433104
0.6,145.2423788,312.6408513
0.7,168.2716669,323.0292881
0.8,189.823868,321.5522011
0.9,186.8382414,297.0143733
1,174.9331692,288.0949279
1.1,125.3332022,250.4000329
1.2,127.1420406,301.8088384
1.3,111.5400556,284.398015
1.4,92.67006161,281.130006
1.5,84.60810358,291.938042
1.6,56.25914998,271.6510464
1.7,44.05020774,287.7910578
1.8,46.03637929,301.9861715
1.9,51.13791157,305.1015323
2,64.90319257,313.765281
2.1,54.80233091,289.8991383
2.2,83.5536144,328.7512835
2.3,78.43075608,294.8771417
2.4,90.78507149,312.3543154
2.5,113.7291442,322.9440727
2.6,115.7623602,302.033216
2.7,103.576772,287.8144118
2.8,99.94081661,296.3640446
2.9,96.25768601,296.3168694
3,128.4960503,332.2383643
3.1,111.6429548,283.1469045
3.2,112.2090646,300.5661098
3.3,98.60058051,286.3915159
3.4,96.61169381,298.0111133
3.5,84.53551745,287.9238236
3.6,90.54530553,306.0097881
3.7,78.91555124,288.3702457
3.8,79.6640771,300.7485259
3.9,78.4548565,298.7907794
4,71.76821081,293.3133543
4.1,71.29617644,299.5279656
4.2,78.50202586,307.2058494
4.3,71.90928286,293.407257
4.4,75.4807562,303.5714733
4.5,78.58844569,303.1076895
4.6,98.94179879,320.3533531
4.7,99.08728178,300.145483
4.8,145.3398599,346.2525781
4.9,132.1010564,286.7611965
5,129.8043409,297.7032845
5.1,104.8436285,275.0392875
5.2,124.5408132,319.6971847
5.3,94.68558858,270.1447754
5.4,87.39067444,292.7050859
5.5,68.52898852,281.1383141
5.6,58.37906376,289.8500752
5.7,25.60300379,267.22394
5.8,12.39353992,286.7905361
5.9,8.075607544,295.6820676
6,20.4152416,312.3396341
6.1,45.60988213,325.1946405
6.2,23.30780224,277.6979201
6.3,91.82208276,368.5142805
6.4,75.82728325,284.0052005
6.5,135.0655954,359.2383122
6.6,246.7777371,411.7121417
6.7,249.8395066,303.0617696
6.8,314.2148351,364.3753285
6.9,522.0613587,507.8465236
7,727.0716958,505.0103371
7.1,793.1017441,366.0300483
7.2,995.3854218,502.2836777
7.3,830.8359429,135.450521
7.4,1332.982829,802.1468861
7.5,2222.700019,1189.71719
7.6,2246.242487,323.5424674
7.7,1653.309859,-292.9326275
7.8,1617.861997,264.5521373
7.9,1366.757347,48.89535037
8,1337.566113,270.8087665
8.1,1552.716339,515.1502255
8.2,861.3496846,-391.3666544
8.3,671.8011186,110.451434
8.4,202.9149924,-168.8861261
8.5,135.5,232.5850076
8.6,142.5,307
8.7,125.5,283
8.8,100.6582171,275.1582171
8.9,182.6015275,381.9433104
9,190.7423788,308.1408513
9.1,147.2716669,256.5292881
9.2,234.323868,387.0522011
