id,BTC_USD,ETH_USD,BNB_USD,XRP_USD,ADA_USD,SOL_USD,DOGE_USD,TRX_USD,DAI_USD,UNI_USD,AVAX_USD,LTC_USD,LINK_USD,XLM_USD,MATIC_USD,DOT_USD,LEO_USD,WBTC_USD,YOUC_USD,STETH_USD,FTT_USD,CRO_USD,ATOM_USD,NEAR_USD,XMR_USD,ALGO_USD,BTCB_USD,ETC_USD,BCH_USD,VET_USD,MANA_USD,SAND_USD,XTZ_USD,HBAR_USD,FRAX_USD,EGLD_USD,AAVE_USD,FIL_USD,QNT_USD,THETA_USD,AXS_USD,WBNB_USD,HNT_USD,BSV_USD,EOS_USD,KCS_USD,MKR_USD,ZEC_USD,HBTC_USD,OKB_USD,RUNE_USD,MIOTA_USD,LUNA1_USD,HT_USD,GRT1_USD,KLAY_USD,FTM_USD,CHZ_USD,NEO_USD,CRV_USD,BAT_USD,PAXG_USD,WAVES_USD,BTT_USD,DFI_USD,STX_USD,ZIL_USD,DASH_USD,AR_USD,KSM_USD,CAKE_USD,ENJ_USD,UST_USD,XAUT_USD,COMP1_USD,CELO_USD
"Jan 1, 2021",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Jan 2, 2021",101.2841708,98.9921635,101.4152824,108.0046958,96.66642214,121.9198157,121.4224789,100.3987614,100.0724334,101.1494257,116.8775558,101.2350788,105.3415057,103.1455878,101.0151432,89.39264674,99.85843146,101.2826991,86.68363404,98.78767056,100.8367344,101.8146126,90.37998466,97.34686734,86.89011914,119.1860265,96.86156462,100.4713118,99.68897308,101.6136775,107.0120544,103.8425985,99.69420939,103.4368966,101.6512877,105.7969753,103.2243466,91.5296472,98.2586927,105.9272158,110.090471,103.2061368,104.7279233,99.68452382,101.441968,99.1186827,99.19361942,88.75353209,103.8258919,118.4006598,110.6296617,98.13232704,99.52843895,118.7662964,103.740714,100.836013,101.7661955,97.6548649,101.2850155,99.04556642,102.7376536,99.8900751,96.75118761,101.730107,96.58988171,108.6256931,95.66990324,88.59132192,99.58087254,96.58166145,106.0965663,104.0906147,100.4505084,99.76504041,96.99723658,98.8185
"Jan 3, 2021",110.7771084,104.9785034,102.3158119,100.8228492,97.80922207,119.086467,226.7193514,101.438526,99.71726154,332.1838937,111.4596922,109.827998,108.4254921,99.57154954,107.9963704,99.09958034,99.87205209,110.9982911,101.6050417,104.3840166,107.4007509,105.6266556,83.388932,101.1024026,91.40646691,122.1683109,98.85860489,101.8471933,103.3660438,106.433402,101.6626056,106.9783812,99.18673542,104.4296441,101.5177792,105.0917932,97.92678116,89.55000849,106.3804346,128.9708836,100.5574704,98.81626811,99.6216697,99.66837281,101.0950466,98.13051928,103.8081977,90.33517143,113.3731877,107.1537184,110.571102,96.40510673,96.76729845,110.9384108,93.47395378,98.89501055,97.36546133,90.63346902,100.8351315,97.74720169,102.1817073,101.5541057,89.7721474,116.9550262,105.6678105,115.1452508,87.96186857,87.31434799,101.5458501,95.80940918,98.86463245,101.0454134,100.2297157,99.66728155,91.20672872,97.02682296
"Jan 4, 2021",113.0347533,132.2178351,110.094558,102.730097,113.0090352,143.0772954,208.6928682,109.9206246,99.7646835,339.0804645,110.758201,128.4707414,121.1137555,106.2732762,113.2819072,107.9717456,99.60245666,113.9085525,102.745185,130.2546006,119.9433003,102.1153347,89.53821312,105.6230476,88.17933476,126.5617982,103.8767637,115.4963476,122.9519331,138.0465488,104.0549018,114.8739323,105.8674053,103.826454,100.0456046,110.2280634,104.0777685,87.97936255,96.3075658,113.9816422,105.5483739,112.6288692,101.0322642,104.7415144,107.5857151,101.9747475,115.63373,92.55115717,116.5154578,97.0803939,126.6516086,104.2426097,101.4367339,112.0855971,84.73666075,96.74825856,111.1642737,91.25011888,111.4736202,106.9947243,108.4188126,101.593323,88.86666305,108.3045014,110.7421816,121.3227914,82.21501308,89.42203094,97.93679171,100.8517061,101.451709,103.6076969,100.1629394,99.5104362,97.53750209,97.58975549
"Jan 5, 2021",110.2414384,140.9905436,109.4989203,107.6558186,123.9061205,164.4781409,208.607434,114.9815523,99.74815173,331.0344931,114.4990719,124.1534417,120.4118441,128.6749203,139.5905413,101.9058691,99.25673666,110.2574073,112.8735805,135.5965798,130.1657469,111.8000838,92.35457069,99.23776299,85.32975387,131.3213999,109.2831258,123.5522371,118.9137961,131.3575129,101.4951911,113.5781,114.6962409,101.8126953,100.8379492,124.325644,126.9681624,88.14783261,100.5693999,105.3247392,104.0672818,118.0150054,103.6748984,102.4177369,108.1729752,119.7288917,116.2997918,92.63344313,113.924378,92.38408773,135.950593,116.1081586,102.7162351,110.7095844,87.83759352,94.07960434,120.591883,87.89124053,113.6946917,107.7432128,109.1205016,103.4971978,86.64154058,108.9965482,123.3888959,123.9276897,85.13925827,89.14898839,102.3195192,94.8602677,103.0404365,108.0916844,100.6363082,100.9437622,99.79738007,100.9111994
"Jan 6, 2021",117.2083203,149.0920339,111.6613933,103.1403829,142.4025784,142.7771454,211.8752784,106.7044328,99.85314987,351.7241385,135.1384084,127.1909228,129.0077539,151.7667632,138.7568774,104.4029901,99.43187408,117.2218173,107.4939094,150.9188048,150.0976481,113.36694,95.74343806,107.7207768,87.38779371,143.5244361,116.9973181,127.6831066,122.3625983,148.633966,105.0350811,117.1346119,118.0813175,118.5291031,99.93279065,137.8169137,133.0483015,88.82683485,112.8651676,114.6594427,103.5776073,113.3463905,114.0567762,103.0531559,111.5409475,120.5187615,129.9314576,93.14054825,123.1300338,96.58327807,135.4315771,118.9374584,109.8317246,110.1123756,97.11556222,93.64716501,121.5960764,93.47378962,117.9518909,109.3396619,116.1409367,104.672877,89.68855264,107.6124647,129.9600216,131.671207,85.28080794,89.45580222,107.5653542,94.22971552,108.8796333,112.2588205,99.48610999,101.466739,107.9610067,173.6659134
"Jan 7, 2021",126.9730291,163.6089198,112.8154872,114.1230675,182.9677409,127.6867789,223.5155977,113.7219119,99.78740281,127.5862078,147.3511897,135.5493499,152.2132818,265.477143,199.2570758,108.647399,98.90814685,126.5816944,111.8441362,161.6124483,162.6759641,131.2789378,102.8843082,110.5816834,90.89939766,153.0699944,113.6260744,133.6834928,132.482329,163.998512,117.9550516,125.5238033,129.8703647,121.5858752,100.6350158,156.0084557,131.3882306,90.21051983,103.8339924,117.3665712,111.2538976,121.978176,115.907615,109.9137814,129.9764011,129.394396,174.4534779,98.35750017,129.0804629,95.12655223,136.0886657,128.1471753,109.7555609,114.607149,105.6366326,93.79009357,144.3676469,98.71530915,135.9297989,116.1274829,125.4422509,101.6611977,94.15561492,112.8027755,129.8778306,131.8052274,94.59553913,94.66845861,117.8417712,104.384412,106.3705939,123.1048789,100.3238767,101.1653986,121.0747428,156.9105543
"Jan 8, 2021",135.7541622,166.1252972,116.2495995,148.2865318,165.3720871,157.0420403,208.073485,115.7828028,99.60050588,135.6321875,142.7669448,136.0297637,142.2466851,246.0052944,187.1434283,103.7888213,98.1971974,135.7431704,108.3019662,166.154315,165.6439729,132.9602802,96.63982421,107.3874253,91.39783238,138.5531741,133.2030853,127.0745031,131.0494861,152.8678754,163.1391291,121.5213391,125.7374765,121.9817173,99.56419313,150.682572,131.3192651,90.77747236,107.3836541,107.151666,112.6235355,120.0183262,107.2672694,107.70708,123.3267304,141.9418782,181.3991426,107.1553843,139.7913555,95.62680043,124.8586813,129.2603771,131.6447025,115.0004887,98.82982561,106.2426439,140.9888314,94.1418306,145.7316639,114.4511412,128.6016164,101.1784551,95.59245172,115.2249192,138.1331245,136.9476226,92.04636498,99.65272038,108.0819139,95.73172594,96.62209385,125.6227662,100.3965638,100.5629911,115.8447075,150.7961499
"Jan 9, 2021",140.6730649,165.924572,113.4291491,147.0256476,168.468606,213.1108143,210.2947551,114.0871314,99.6421441,140.2298818,184.8798828,138.9681835,135.6464486,235.9086986,179.9977289,100.157401,98.29731604,140.0186363,113.4049107,168.0075711,162.5060516,139.5659949,91.65653612,123.0003996,91.03134228,136.1420801,136.9734041,122.3608138,128.5686721,146.0350418,164.4886334,122.1355894,122.0697404,192.9471223,100.6394349,151.7584728,127.6202403,88.94862732,136.7170783,106.9832759,110.1318927,117.1597569,110.1338539,110.2858421,120.2221589,147.8897422,178.0500849,107.6754615,147.4012167,92.17647443,114.97673,124.4118294,130.6583741,112.7229579,93.94064289,120.0163063,156.4475093,90.56805977,138.6415585,110.5885277,125.7252281,97.17134342,90.12770183,115.2249192,155.73205,124.813153,89.33263696,97.02117288,106.3075544,95.73342231,93.40329924,170.4075253,101.1901098,98.19130847,110.3864092,156.0131507
"Jan 10, 2021",138.8005467,173.63396,117.5428456,148.7022808,183.5603635,224.0642287,217.7274734,126.8065482,99.74933935,370.1149493,230.2114624,142.339781,156.2260197,242.9968084,190.0583998,105.2220256,98.69478917,138.8540438,132.4773015,170.7007904,165.7891378,141.5719802,100.7114,126.574699,94.24729632,145.5640092,134.989997,136.9345348,167.295425,154.1726595,147.8626532,129.1644485,131.0564702,162.6496199,101.388079,150.2688629,134.4343059,90.80497768,155.697226,109.7505226,112.2943547,121.6822827,118.7301199,173.8717164,139.5965019,177.6474647,268.9438917,121.9119385,143.5719685,93.27767269,133.9394991,146.9623701,125.5156968,119.474657,99.77407368,121.3296931,161.5984397,94.88460885,148.8371836,121.6358927,137.9294775,97.55271024,99.52574809,144.6366875,164.4673078,126.136808,92.42989131,110.4679999,121.6081567,96.0500714,92.75829478,158.663748,100.7909342,96.77529313,121.1202976,155.0093017
